A | סופרמרקט | department | depth 0 | path A | pathHe סופרמרקט | url https://www.shufersal.co.il/online/he/A
A1603 | מוצרי בשר, עוף ודגים קפואים | depth6 | parent A2411 כל ילדי השכונה אצלנו בבית | depth 6 | path A>A24>A16>A07>A2412>A2411>A1603 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין לי זמן לבשל > כל ילדי השכונה אצלנו בבית > מוצרי בשר, עוף ודגים קפואים | url https://www.shufersal.co.il/online/he/c/A1603
A0717 | מוצרים מוכנים לאכילה | depth7 | parent A1603 מוצרי בשר, עוף ודגים קפואים | depth 7 | path A>A24>A16>A07>A2412>A2411>A1603>A0717 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין לי זמן לבשל > כל ילדי השכונה אצלנו בבית > מוצרי בשר, עוף ודגים קפואים > מוצרים מוכנים לאכילה | url https://www.shufersal.co.il/online/he/c/A0717
A160309 | שניצלונים מוכנים | depth8 | parent A0717 מוצרים מוכנים לאכילה | depth 8 | path A>A24>A16>A07>A2412>A2411>A1603>A0717>A160309 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין לי זמן לבשל > כל ילדי השכונה אצלנו בבית > מוצרי בשר, עוף ודגים קפואים > מוצרים מוכנים לאכילה > שניצלונים מוכנים | url https://www.shufersal.co.il/online/he/c/A160309
A071707 | שניצלים | leaf | parent A160309 שניצלונים מוכנים | depth 9 | path A>A24>A16>A07>A2412>A2411>A1603>A0717>A160309>A071707 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין לי זמן לבשל > כל ילדי השכונה אצלנו בבית > מוצרי בשר, עוף ודגים קפואים > מוצרים מוכנים לאכילה > שניצלונים מוכנים > שניצלים | url https://www.shufersal.co.il/online/he/c/A071707
A071704 | שניצלונים | leaf | parent A160309 שניצלונים מוכנים | depth 9 | path A>A24>A16>A07>A2412>A2411>A1603>A0717>A160309>A071704 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין לי זמן לבשל > כל ילדי השכונה אצלנו בבית > מוצרי בשר, עוף ודגים קפואים > מוצרים מוכנים לאכילה > שניצלונים מוכנים > שניצלונים | url https://www.shufersal.co.il/online/he/c/A071704
A160308 | קיציצות מוכנות קפואות | depth9 | parent A160309 שניצלונים מוכנים | depth 9 | path A>A24>A16>A07>A2412>A2411>A1603>A0717>A160309>A160308 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין לי זמן לבשל > כל ילדי השכונה אצלנו בבית > מוצרי בשר, עוף ודגים קפואים > מוצרים מוכנים לאכילה > שניצלונים מוכנים > קיציצות מוכנות קפואות | url https://www.shufersal.co.il/online/he/c/A160308
A071704 | שניצלונים | leaf | parent A160308 קיציצות מוכנות קפואות | depth 10 | path A>A24>A16>A07>A2412>A2411>A1603>A0717>A160309>A160308>A071704 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין לי זמן לבשל > כל ילדי השכונה אצלנו בבית > מוצרי בשר, עוף ודגים קפואים > מוצרים מוכנים לאכילה > שניצלונים מוכנים > קיציצות מוכנות קפואות > שניצלונים | url https://www.shufersal.co.il/online/he/c/A071704
A2409 | Finger Food | depth6 | parent A2411 כל ילדי השכונה אצלנו בבית | depth 6 | path A>A24>A16>A07>A2412>A2411>A2409 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין לי זמן לבשל > כל ילדי השכונה אצלנו בבית > Finger Food | url https://www.shufersal.co.il/online/he/c/A2409
A1603 | מוצרי בשר, עוף ודגים קפואים | depth7 | parent A2409 Finger Food | depth 7 | path A>A24>A16>A07>A2412>A2411>A2409>A1603 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין לי זמן לבשל > כל ילדי השכונה אצלנו בבית > Finger Food > מוצרי בשר, עוף ודגים קפואים | url https://www.shufersal.co.il/online/he/c/A1603
A0717 | מוצרים מוכנים לאכילה | depth8 | parent A1603 מוצרי בשר, עוף ודגים קפואים | depth 8 | path A>A24>A16>A07>A2412>A2411>A2409>A1603>A0717 | pathHe סופרמרקט > רשימות > מזון מקורר קפואים ונקניקים > מוצרי בשר, עוף ודגים > אין לי זמן לבשל > כל ילדי השכונה אצלנו בבית > Finger Food > מוצרי בשר, עוף ודגים קפואים > מוצרים מוכנים לאכילה | url https://www.shufersal.co.il/online/he/c/A0717
