A | סופרמרקט | department | depth 0 | path A | pathHe סופרמרקט | url https://www.shufersal.co.il/online/he/A
G0104 | מוצרי טיפוח אישי I מייבשי שיער, מכונות גילוח | subCategory | parent G01 חשמל לבית | depth 2 | path G>G01>G0104 | pathHe הקניון-הכל לבית > חשמל לבית > מוצרי טיפוח אישי I מייבשי שיער, מכונות גילוח | url https://www.shufersal.co.il/online/he/c/G0104
G010405 | מכשירי עיסוי חשמליים | leaf | parent G0104 מוצרי טיפוח אישי I מייבשי שיער, מכונות גילוח | depth 3 | path G>G01>G0104>G010405 | pathHe הקניון-הכל לבית > חשמל לבית > מוצרי טיפוח אישי I מייבשי שיער, מכונות גילוח > מכשירי עיסוי חשמליים | url https://www.shufersal.co.il/online/he/c/G010405
G010401 | מכשירים לעיצוב שיער | leaf | parent G0104 מוצרי טיפוח אישי I מייבשי שיער, מכונות גילוח | depth 3 | path G>G01>G0104>G010401 | pathHe הקניון-הכל לבית > חשמל לבית > מוצרי טיפוח אישי I מייבשי שיער, מכונות גילוח > מכשירים לעיצוב שיער | url https://www.shufersal.co.il/online/he/c/G010401
G290101 | מתנות ליום האשה | depth3 | parent G0104 מוצרי טיפוח אישי I מייבשי שיער, מכונות גילוח | depth 3 | path G>G01>G0104>G290101 | pathHe הקניון-הכל לבית > חשמל לבית > מוצרי טיפוח אישי I מייבשי שיער, מכונות גילוח > מתנות ליום האשה | url https://www.shufersal.co.il/online/he/c/G290101
G010401 | מכשירים לעיצוב שיער | leaf | parent G290101 מתנות ליום האשה | depth 4 | path G>G01>G0104>G290101>G010401 | pathHe הקניון-הכל לבית > חשמל לבית > מוצרי טיפוח אישי I מייבשי שיער, מכונות גילוח > מתנות ליום האשה > מכשירים לעיצוב שיער | url https://www.shufersal.co.il/online/he/c/G010401
G010403 | מכונות תספורת, גילוח | leaf | parent G0104 מוצרי טיפוח אישי I מייבשי שיער, מכונות גילוח | depth 3 | path G>G01>G0104>G010403 | pathHe הקניון-הכל לבית > חשמל לבית > מוצרי טיפוח אישי I מייבשי שיער, מכונות גילוח > מכונות תספורת, גילוח | url https://www.shufersal.co.il/online/he/c/G010403
G14 | מטבח, אירוח וחד פעמי | category | parent G הקניון-הכל לבית | depth 1 | path G>G14 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי | url https://www.shufersal.co.il/online/he/c/G14
G02 | חשמל למטבח | subCategory | parent G14 מטבח, אירוח וחד פעמי | depth 2 | path G>G14>G02 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח | url https://www.shufersal.co.il/online/he/c/G02
G1404 | מיקסר, בלנדר, מעבד מזון | depth3 | parent G02 חשמל למטבח | depth 3 | path G>G14>G02>G1404 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מיקסר, בלנדר, מעבד מזון | url https://www.shufersal.co.il/online/he/c/G1404
G0204 | מיקסר, מעבד מזון, בלנדר | depth4 | parent G1404 מיקסר, בלנדר, מעבד מזון | depth 4 | path G>G14>G02>G1404>G0204 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מיקסר, בלנדר, מעבד מזון > מיקסר, מעבד מזון, בלנדר | url https://www.shufersal.co.il/online/he/c/G0204
G140404 | מסחטות מיץ | depth5 | parent G0204 מיקסר, מעבד מזון, בלנדר | depth 5 | path G>G14>G02>G1404>G0204>G140404 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מיקסר, בלנדר, מעבד מזון > מיקסר, מעבד מזון, בלנדר > מסחטות מיץ | url https://www.shufersal.co.il/online/he/c/G140404
G020404 | מסחטות מיצים | leaf | parent G140404 מסחטות מיץ | depth 6 | path G>G14>G02>G1404>G0204>G140404>G020404 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מיקסר, בלנדר, מעבד מזון > מיקסר, מעבד מזון, בלנדר > מסחטות מיץ > מסחטות מיצים | url https://www.shufersal.co.il/online/he/c/G020404
G140401 | מיקסרים | depth5 | parent G0204 מיקסר, מעבד מזון, בלנדר | depth 5 | path G>G14>G02>G1404>G0204>G140401 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מיקסר, בלנדר, מעבד מזון > מיקסר, מעבד מזון, בלנדר > מיקסרים | url https://www.shufersal.co.il/online/he/c/G140401
G020401 | מיקסרים | leaf | parent G140401 מיקסרים | depth 6 | path G>G14>G02>G1404>G0204>G140401>G020401 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מיקסר, בלנדר, מעבד מזון > מיקסר, מעבד מזון, בלנדר > מיקסרים > מיקסרים | url https://www.shufersal.co.il/online/he/c/G020401
G140403 | בלנדרים | depth5 | parent G0204 מיקסר, מעבד מזון, בלנדר | depth 5 | path G>G14>G02>G1404>G0204>G140403 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מיקסר, בלנדר, מעבד מזון > מיקסר, מעבד מזון, בלנדר > בלנדרים | url https://www.shufersal.co.il/online/he/c/G140403
G020403 | בלנדרים | leaf | parent G140403 בלנדרים | depth 6 | path G>G14>G02>G1404>G0204>G140403>G020403 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מיקסר, בלנדר, מעבד מזון > מיקסר, מעבד מזון, בלנדר > בלנדרים > בלנדרים | url https://www.shufersal.co.il/online/he/c/G020403
G140402 | מעבדי מזון | depth5 | parent G0204 מיקסר, מעבד מזון, בלנדר | depth 5 | path G>G14>G02>G1404>G0204>G140402 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מיקסר, בלנדר, מעבד מזון > מיקסר, מעבד מזון, בלנדר > מעבדי מזון | url https://www.shufersal.co.il/online/he/c/G140402
G020402 | מעבדי מזון | leaf | parent G140402 מעבדי מזון | depth 6 | path G>G14>G02>G1404>G0204>G140402>G020402 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מיקסר, בלנדר, מעבד מזון > מיקסר, מעבד מזון, בלנדר > מעבדי מזון > מעבדי מזון | url https://www.shufersal.co.il/online/he/c/G020402
G140401 | מיקסרים | depth6 | parent G140402 מעבדי מזון | depth 6 | path G>G14>G02>G1404>G0204>G140402>G140401 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מיקסר, בלנדר, מעבד מזון > מיקסר, מעבד מזון, בלנדר > מעבדי מזון > מיקסרים | url https://www.shufersal.co.il/online/he/c/G140401
G020405 | KITCHENAID | depth7 | parent G140401 מיקסרים | depth 7 | path G>G14>G02>G1404>G0204>G140402>G140401>G020405 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מיקסר, בלנדר, מעבד מזון > מיקסר, מעבד מזון, בלנדר > מעבדי מזון > מיקסרים > KITCHENAID | url https://www.shufersal.co.il/online/he/c/G020405
G020402 | מעבדי מזון | depth8 | parent G020405 KITCHENAID | depth 8 | path G>G14>G02>G1404>G0204>G140402>G140401>G020405>G020402 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מיקסר, בלנדר, מעבד מזון > מיקסר, מעבד מזון, בלנדר > מעבדי מזון > מיקסרים > KITCHENAID > מעבדי מזון | url https://www.shufersal.co.il/online/he/c/G020402
G020401 | מיקסרים | leaf | parent G020402 מעבדי מזון | depth 9 | path G>G14>G02>G1404>G0204>G140402>G140401>G020405>G020402>G020401 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מיקסר, בלנדר, מעבד מזון > מיקסר, מעבד מזון, בלנדר > מעבדי מזון > מיקסרים > KITCHENAID > מעבדי מזון > מיקסרים | url https://www.shufersal.co.il/online/he/c/G020401
G020402 | מעבדי מזון | depth7 | parent G140401 מיקסרים | depth 7 | path G>G14>G02>G1404>G0204>G140402>G140401>G020402 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מיקסר, בלנדר, מעבד מזון > מיקסר, מעבד מזון, בלנדר > מעבדי מזון > מיקסרים > מעבדי מזון | url https://www.shufersal.co.il/online/he/c/G020402
G020401 | מיקסרים | leaf | parent G020402 מעבדי מזון | depth 8 | path G>G14>G02>G1404>G0204>G140402>G140401>G020402>G020401 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מיקסר, בלנדר, מעבד מזון > מיקסר, מעבד מזון, בלנדר > מעבדי מזון > מיקסרים > מעבדי מזון > מיקסרים | url https://www.shufersal.co.il/online/he/c/G020401
G020403 | בלנדרים | depth6 | parent G140402 מעבדי מזון | depth 6 | path G>G14>G02>G1404>G0204>G140402>G020403 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מיקסר, בלנדר, מעבד מזון > מיקסר, מעבד מזון, בלנדר > מעבדי מזון > בלנדרים | url https://www.shufersal.co.il/online/he/c/G020403
G020402 | מעבדי מזון | leaf | parent G020403 בלנדרים | depth 7 | path G>G14>G02>G1404>G0204>G140402>G020403>G020402 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מיקסר, בלנדר, מעבד מזון > מיקסר, מעבד מזון, בלנדר > מעבדי מזון > בלנדרים > מעבדי מזון | url https://www.shufersal.co.il/online/he/c/G020402
G1403 | מוצרי חשמל למטבח | depth3 | parent G02 חשמל למטבח | depth 3 | path G>G14>G02>G1403 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מוצרי חשמל למטבח | url https://www.shufersal.co.il/online/he/c/G1403
G0201 | מוצרים קטנים ומוצרי חשמל למטבח | depth4 | parent G1403 מוצרי חשמל למטבח | depth 4 | path G>G14>G02>G1403>G0201 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מוצרי חשמל למטבח > מוצרים קטנים ומוצרי חשמל למטבח | url https://www.shufersal.co.il/online/he/c/G0201
G140301 | טוסטרים ומצנמים | depth5 | parent G0201 מוצרים קטנים ומוצרי חשמל למטבח | depth 5 | path G>G14>G02>G1403>G0201>G140301 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מוצרי חשמל למטבח > מוצרים קטנים ומוצרי חשמל למטבח > טוסטרים ומצנמים | url https://www.shufersal.co.il/online/he/c/G140301
G020109 | טוסטרים ומצנמים | leaf | parent G140301 טוסטרים ומצנמים | depth 6 | path G>G14>G02>G1403>G0201>G140301>G020109 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מוצרי חשמל למטבח > מוצרים קטנים ומוצרי חשמל למטבח > טוסטרים ומצנמים > טוסטרים ומצנמים | url https://www.shufersal.co.il/online/he/c/G020109
G140302 | טוסטר אובן | depth5 | parent G0201 מוצרים קטנים ומוצרי חשמל למטבח | depth 5 | path G>G14>G02>G1403>G0201>G140302 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מוצרי חשמל למטבח > מוצרים קטנים ומוצרי חשמל למטבח > טוסטר אובן | url https://www.shufersal.co.il/online/he/c/G140302
G020110 | טוסטר אובן | leaf | parent G140302 טוסטר אובן | depth 6 | path G>G14>G02>G1403>G0201>G140302>G020110 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מוצרי חשמל למטבח > מוצרים קטנים ומוצרי חשמל למטבח > טוסטר אובן > טוסטר אובן | url https://www.shufersal.co.il/online/he/c/G020110
G140304 | מכשירים משלימים למטבח | depth5 | parent G0201 מוצרים קטנים ומוצרי חשמל למטבח | depth 5 | path G>G14>G02>G1403>G0201>G140304 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מוצרי חשמל למטבח > מוצרים קטנים ומוצרי חשמל למטבח > מכשירים משלימים למטבח | url https://www.shufersal.co.il/online/he/c/G140304
G020111 | מוצרי חשמל למטבח | leaf | parent G140304 מכשירים משלימים למטבח | depth 6 | path G>G14>G02>G1403>G0201>G140304>G020111 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מוצרי חשמל למטבח > מוצרים קטנים ומוצרי חשמל למטבח > מכשירים משלימים למטבח > מוצרי חשמל למטבח | url https://www.shufersal.co.il/online/he/c/G020111
G140303 | פלטות סירי טיגון ובישול | depth5 | parent G0201 מוצרים קטנים ומוצרי חשמל למטבח | depth 5 | path G>G14>G02>G1403>G0201>G140303 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מוצרי חשמל למטבח > מוצרים קטנים ומוצרי חשמל למטבח > פלטות סירי טיגון ובישול | url https://www.shufersal.co.il/online/he/c/G140303
G020107 | פלטה לשבת | leaf | parent G140303 פלטות סירי טיגון ובישול | depth 6 | path G>G14>G02>G1403>G0201>G140303>G020107 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מוצרי חשמל למטבח > מוצרים קטנים ומוצרי חשמל למטבח > פלטות סירי טיגון ובישול > פלטה לשבת | url https://www.shufersal.co.il/online/he/c/G020107
G0205 | קומקומים ומכונות קפה | depth4 | parent G1403 מוצרי חשמל למטבח | depth 4 | path G>G14>G02>G1403>G0205 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מוצרי חשמל למטבח > קומקומים ומכונות קפה | url https://www.shufersal.co.il/online/he/c/G0205
G0201 | מוצרים קטנים ומוצרי חשמל למטבח | depth5 | parent G0205 קומקומים ומכונות קפה | depth 5 | path G>G14>G02>G1403>G0205>G0201 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מוצרי חשמל למטבח > קומקומים ומכונות קפה > מוצרים קטנים ומוצרי חשמל למטבח | url https://www.shufersal.co.il/online/he/c/G0201
G140303 | פלטות סירי טיגון ובישול | depth6 | parent G0201 מוצרים קטנים ומוצרי חשמל למטבח | depth 6 | path G>G14>G02>G1403>G0205>G0201>G140303 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מוצרי חשמל למטבח > קומקומים ומכונות קפה > מוצרים קטנים ומוצרי חשמל למטבח > פלטות סירי טיגון ובישול | url https://www.shufersal.co.il/online/he/c/G140303
G020507 | מייחמים ופלטות חימום | depth7 | parent G140303 פלטות סירי טיגון ובישול | depth 7 | path G>G14>G02>G1403>G0205>G0201>G140303>G020507 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מוצרי חשמל למטבח > קומקומים ומכונות קפה > מוצרים קטנים ומוצרי חשמל למטבח > פלטות סירי טיגון ובישול > מייחמים ופלטות חימום | url https://www.shufersal.co.il/online/he/c/G020507
G020107 | פלטה לשבת | leaf | parent G020507 מייחמים ופלטות חימום | depth 8 | path G>G14>G02>G1403>G0205>G0201>G140303>G020507>G020107 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מוצרי חשמל למטבח > קומקומים ומכונות קפה > מוצרים קטנים ומוצרי חשמל למטבח > פלטות סירי טיגון ובישול > מייחמים ופלטות חימום > פלטה לשבת | url https://www.shufersal.co.il/online/he/c/G020107
G0203 | בישול ואפיה I תנורים, גרילים, כיריים, טוסטרים | depth4 | parent G1403 מוצרי חשמל למטבח | depth 4 | path G>G14>G02>G1403>G0203 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מוצרי חשמל למטבח > בישול ואפיה I תנורים, גרילים, כיריים, טוסטרים | url https://www.shufersal.co.il/online/he/c/G0203
G0201 | מוצרים קטנים ומוצרי חשמל למטבח | depth5 | parent G0203 בישול ואפיה I תנורים, גרילים, כיריים, טוסטרים | depth 5 | path G>G14>G02>G1403>G0203>G0201 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מוצרי חשמל למטבח > בישול ואפיה I תנורים, גרילים, כיריים, טוסטרים > מוצרים קטנים ומוצרי חשמל למטבח | url https://www.shufersal.co.il/online/he/c/G0201
G140303 | פלטות סירי טיגון ובישול | depth6 | parent G0201 מוצרים קטנים ומוצרי חשמל למטבח | depth 6 | path G>G14>G02>G1403>G0203>G0201>G140303 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מוצרי חשמל למטבח > בישול ואפיה I תנורים, גרילים, כיריים, טוסטרים > מוצרים קטנים ומוצרי חשמל למטבח > פלטות סירי טיגון ובישול | url https://www.shufersal.co.il/online/he/c/G140303
G020305 | קולטי אדים וכיריים | depth7 | parent G140303 פלטות סירי טיגון ובישול | depth 7 | path G>G14>G02>G1403>G0203>G0201>G140303>G020305 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מוצרי חשמל למטבח > בישול ואפיה I תנורים, גרילים, כיריים, טוסטרים > מוצרים קטנים ומוצרי חשמל למטבח > פלטות סירי טיגון ובישול > קולטי אדים וכיריים | url https://www.shufersal.co.il/online/he/c/G020305
G020107 | פלטה לשבת | leaf | parent G020305 קולטי אדים וכיריים | depth 8 | path G>G14>G02>G1403>G0203>G0201>G140303>G020305>G020107 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > חשמל למטבח > מוצרי חשמל למטבח > בישול ואפיה I תנורים, גרילים, כיריים, טוסטרים > מוצרים קטנים ומוצרי חשמל למטבח > פלטות סירי טיגון ובישול > קולטי אדים וכיריים > פלטה לשבת | url https://www.shufersal.co.il/online/he/c/G020107
G1410 | מוצרים למטבח | subCategory | parent G14 מטבח, אירוח וחד פעמי | depth 2 | path G>G14>G1410 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > מוצרים למטבח | url https://www.shufersal.co.il/online/he/c/G1410
G141001 | פחים למטבח | leaf | parent G1410 מוצרים למטבח | depth 3 | path G>G14>G1410>G141001 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > מוצרים למטבח > פחים למטבח | url https://www.shufersal.co.il/online/he/c/G141001
G141008 | מפות שולחן מעוצבות | leaf | parent G1410 מוצרים למטבח | depth 3 | path G>G14>G1410>G141008 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > מוצרים למטבח > מפות שולחן מעוצבות | url https://www.shufersal.co.il/online/he/c/G141008
G141007 | מגבות מטבח | leaf | parent G1410 מוצרים למטבח | depth 3 | path G>G14>G1410>G141007 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > מוצרים למטבח > מגבות מטבח | url https://www.shufersal.co.il/online/he/c/G141007
G141002 | קופסאות אחסון פלסטיק | leaf | parent G1410 מוצרים למטבח | depth 3 | path G>G14>G1410>G141002 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > מוצרים למטבח > קופסאות אחסון פלסטיק | url https://www.shufersal.co.il/online/he/c/G141002
G141006 | מייבשי כלים | leaf | parent G1410 מוצרים למטבח | depth 3 | path G>G14>G1410>G141006 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > מוצרים למטבח > מייבשי כלים | url https://www.shufersal.co.il/online/he/c/G141006
G141004 | עגלות מטבח | leaf | parent G1410 מוצרים למטבח | depth 3 | path G>G14>G1410>G141004 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > מוצרים למטבח > עגלות מטבח | url https://www.shufersal.co.il/online/he/c/G141004
G1401 | כלי בישול | subCategory | parent G14 מטבח, אירוח וחד פעמי | depth 2 | path G>G14>G1401 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > כלי בישול | url https://www.shufersal.co.il/online/he/c/G1401
G140105 | אביזרים למטבח | leaf | parent G1401 כלי בישול | depth 3 | path G>G14>G1401>G140105 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > כלי בישול > אביזרים למטבח | url https://www.shufersal.co.il/online/he/c/G140105
G140102 | מחבתות | leaf | parent G1401 כלי בישול | depth 3 | path G>G14>G1401>G140102 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > כלי בישול > מחבתות | url https://www.shufersal.co.il/online/he/c/G140102
G140104 | תבניות סיליקון ואפייה | leaf | parent G1401 כלי בישול | depth 3 | path G>G14>G1401>G140104 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > כלי בישול > תבניות סיליקון ואפייה | url https://www.shufersal.co.il/online/he/c/G140104
G140101 | סירים | leaf | parent G1401 כלי בישול | depth 3 | path G>G14>G1401>G140101 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > כלי בישול > סירים | url https://www.shufersal.co.il/online/he/c/G140101
G13 | GALA HOME | subCategory | parent G14 מטבח, אירוח וחד פעמי | depth 2 | path G>G14>G13 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > GALA HOME | url https://www.shufersal.co.il/online/he/c/G13
G1407 | סכיני מטבח | depth3 | parent G13 GALA HOME | depth 3 | path G>G14>G13>G1407 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > GALA HOME > סכיני מטבח | url https://www.shufersal.co.il/online/he/c/G1407
G1301 | כלים לבית ולמטבח GALA HOME | depth4 | parent G1407 סכיני מטבח | depth 4 | path G>G14>G13>G1407>G1301 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > GALA HOME > סכיני מטבח > כלים לבית ולמטבח GALA HOME | url https://www.shufersal.co.il/online/he/c/G1301
G140705 | קרשי חיתוך | depth5 | parent G1301 כלים לבית ולמטבח GALA HOME | depth 5 | path G>G14>G13>G1407>G1301>G140705 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > GALA HOME > סכיני מטבח > כלים לבית ולמטבח GALA HOME > קרשי חיתוך | url https://www.shufersal.co.il/online/he/c/G140705
G130102 | כלי אירוח והגשה מעוצבים | leaf | parent G140705 קרשי חיתוך | depth 6 | path G>G14>G13>G1407>G1301>G140705>G130102 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > GALA HOME > סכיני מטבח > כלים לבית ולמטבח GALA HOME > קרשי חיתוך > כלי אירוח והגשה מעוצבים | url https://www.shufersal.co.il/online/he/c/G130102
G1410 | מוצרים למטבח | depth3 | parent G13 GALA HOME | depth 3 | path G>G14>G13>G1410 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > GALA HOME > מוצרים למטבח | url https://www.shufersal.co.il/online/he/c/G1410
G1301 | כלים לבית ולמטבח GALA HOME | depth4 | parent G1410 מוצרים למטבח | depth 4 | path G>G14>G13>G1410>G1301 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > GALA HOME > מוצרים למטבח > כלים לבית ולמטבח GALA HOME | url https://www.shufersal.co.il/online/he/c/G1301
G141003 | כלי אחסון מזכוכית | depth5 | parent G1301 כלים לבית ולמטבח GALA HOME | depth 5 | path G>G14>G13>G1410>G1301>G141003 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > GALA HOME > מוצרים למטבח > כלים לבית ולמטבח GALA HOME > כלי אחסון מזכוכית | url https://www.shufersal.co.il/online/he/c/G141003
G130112 | צנצנות בקבוקים וכלי אחסון | depth6 | parent G141003 כלי אחסון מזכוכית | depth 6 | path G>G14>G13>G1410>G1301>G141003>G130112 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > GALA HOME > מוצרים למטבח > כלים לבית ולמטבח GALA HOME > כלי אחסון מזכוכית > צנצנות בקבוקים וכלי אחסון | url https://www.shufersal.co.il/online/he/c/G130112
G130101 | כלים לבישול ולאפיה | leaf | parent G130112 צנצנות בקבוקים וכלי אחסון | depth 7 | path G>G14>G13>G1410>G1301>G141003>G130112>G130101 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > GALA HOME > מוצרים למטבח > כלים לבית ולמטבח GALA HOME > כלי אחסון מזכוכית > צנצנות בקבוקים וכלי אחסון > כלים לבישול ולאפיה | url https://www.shufersal.co.il/online/he/c/G130101
G130102 | כלי אירוח והגשה מעוצבים | depth7 | parent G130112 צנצנות בקבוקים וכלי אחסון | depth 7 | path G>G14>G13>G1410>G1301>G141003>G130112>G130102 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > GALA HOME > מוצרים למטבח > כלים לבית ולמטבח GALA HOME > כלי אחסון מזכוכית > צנצנות בקבוקים וכלי אחסון > כלי אירוח והגשה מעוצבים | url https://www.shufersal.co.il/online/he/c/G130102
G130101 | כלים לבישול ולאפיה | leaf | parent G130102 כלי אירוח והגשה מעוצבים | depth 8 | path G>G14>G13>G1410>G1301>G141003>G130112>G130102>G130101 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > GALA HOME > מוצרים למטבח > כלים לבית ולמטבח GALA HOME > כלי אחסון מזכוכית > צנצנות בקבוקים וכלי אחסון > כלי אירוח והגשה מעוצבים > כלים לבישול ולאפיה | url https://www.shufersal.co.il/online/he/c/G130101
G130102 | כלי אירוח והגשה מעוצבים | leaf | parent G141003 כלי אחסון מזכוכית | depth 6 | path G>G14>G13>G1410>G1301>G141003>G130102 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > GALA HOME > מוצרים למטבח > כלים לבית ולמטבח GALA HOME > כלי אחסון מזכוכית > כלי אירוח והגשה מעוצבים | url https://www.shufersal.co.il/online/he/c/G130102
G130103 | אביזרי נוי ועיצוב לבית ולסלון | leaf | parent G141003 כלי אחסון מזכוכית | depth 6 | path G>G14>G13>G1410>G1301>G141003>G130103 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > GALA HOME > מוצרים למטבח > כלים לבית ולמטבח GALA HOME > כלי אחסון מזכוכית > אביזרי נוי ועיצוב לבית ולסלון | url https://www.shufersal.co.il/online/he/c/G130103
G141002 | קופסאות אחסון פלסטיק | depth5 | parent G1301 כלים לבית ולמטבח GALA HOME | depth 5 | path G>G14>G13>G1410>G1301>G141002 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > GALA HOME > מוצרים למטבח > כלים לבית ולמטבח GALA HOME > קופסאות אחסון פלסטיק | url https://www.shufersal.co.il/online/he/c/G141002
G130112 | צנצנות בקבוקים וכלי אחסון | depth6 | parent G141002 קופסאות אחסון פלסטיק | depth 6 | path G>G14>G13>G1410>G1301>G141002>G130112 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > GALA HOME > מוצרים למטבח > כלים לבית ולמטבח GALA HOME > קופסאות אחסון פלסטיק > צנצנות בקבוקים וכלי אחסון | url https://www.shufersal.co.il/online/he/c/G130112
G130102 | כלי אירוח והגשה מעוצבים | leaf | parent G130112 צנצנות בקבוקים וכלי אחסון | depth 7 | path G>G14>G13>G1410>G1301>G141002>G130112>G130102 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > GALA HOME > מוצרים למטבח > כלים לבית ולמטבח GALA HOME > קופסאות אחסון פלסטיק > צנצנות בקבוקים וכלי אחסון > כלי אירוח והגשה מעוצבים | url https://www.shufersal.co.il/online/he/c/G130102
G130101 | כלים לבישול ולאפיה | leaf | parent G130112 צנצנות בקבוקים וכלי אחסון | depth 7 | path G>G14>G13>G1410>G1301>G141002>G130112>G130101 | pathHe הקניון-הכל לבית > מטבח, אירוח וחד פעמי > GALA HOME > מוצרים למטבח > כלים לבית ולמטבח GALA HOME > קופסאות אחסון פלסטיק > צנצנות בקבוקים וכלי אחסון > כלים לבישול ולאפיה | url https://www.shufersal.co.il/online/he/c/G130101
